Designator,Mid X,Mid Y,Rotation,Layer
U1,-28.883185,37.76257,125.0,top
U2,-21.886983,42.204384,115.0,top
V1,-14.225757,45.363839,105.0,top
V2,-8.591258,46.759388,98.0,top
W1,-8.591258,46.759388,98.0,top
W2,5.45526,47.228064,81.0,top
